FECHAS,DEPARTAMENTO,DAY,CASOS,ZACAPA,TOTONICAPAN,SUCHITEPEQUEZ,SOLOLA,SANTA ROSA,SAN MARCOS,SACATEPEQUEZ,RETALHULEU,QUICHE,QUETZALTENANGO,PETEN,JUTIAPA,JALAPA,IZABAL,HUEHUETENANGO,ESCUINTLA
2/14/2020,GUATEMALA,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/15/2020,GUATEMALA,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/16/2020,GUATEMALA,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/17/2020,GUATEMALA,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/18/2020,GUATEMALA,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/19/2020,GUATEMALA,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/20/2020,GUATEMALA,7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/21/2020,GUATEMALA,8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/22/2020,GUATEMALA,9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/23/2020,GUATEMALA,10,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/24/2020,GUATEMALA,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/25/2020,GUATEMALA,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/26/2020,GUATEMALA,13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/27/2020,GUATEMALA,14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/28/2020,GUATEMALA,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2/29/2020,GUATEMALA,16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/1/2020,GUATEMALA,17,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/2/2020,GUATEMALA,18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/3/2020,GUATEMALA,19,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/4/2020,GUATEMALA,20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/5/2020,GUATEMALA,21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/6/2020,GUATEMALA,22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/7/2020,GUATEMALA,23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/8/2020,GUATEMALA,24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/9/2020,GUATEMALA,25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/10/2020,GUATEMALA,26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/11/2020,GUATEMALA,27,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/12/2020,GUATEMALA,28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/13/2020,GUATEMALA,29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/14/2020,GUATEMALA,30,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/15/2020,GUATEMALA,31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/16/2020,GUATEMALA,32,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/17/2020,GUATEMALA,33,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/18/2020,GUATEMALA,34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/19/2020,GUATEMALA,35,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/20/2020,GUATEMALA,36,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/21/2020,GUATEMALA,37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/22/2020,GUATEMALA,38,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/23/2020,GUATEMALA,39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/24/2020,GUATEMALA,40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/25/2020,GUATEMALA,41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/26/2020,GUATEMALA,42,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/27/2020,GUATEMALA,43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/28/2020,GUATEMALA,44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/29/2020,GUATEMALA,45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/30/2020,GUATEMALA,46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
3/31/2020,GUATEMALA,47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/1/2020,GUATEMALA,48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/2/2020,GUATEMALA,49,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/3/2020,GUATEMALA,50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/4/2020,GUATEMALA,51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/5/2020,GUATEMALA,52,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/6/2020,GUATEMALA,53,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/7/2020,GUATEMALA,54,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/8/2020,GUATEMALA,55,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/9/2020,GUATEMALA,56,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/10/2020,GUATEMALA,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
4/11/2020,GUATEMALA,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4/12/2020,GUATEMALA,59,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
